particle_id,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
685,0.9018888372788039,0.9478296474182469,0.8850805218175002,0.9998125704852018,0.8312081408827272,0.00012053837458046878,0.06264526980469025,0.7704694107334541,0.017217257434996084
687,0.902767504171969,0.9493524682097331,0.8862011701449592,0.9998389049009844,0.8323717688860959,0.00010688367931126979,0.06186306225248129,0.7713633757070244,0.016934770885873043
689,0.902825398033532,0.9492013598980134,0.8863880588976388,0.9998133290897716,0.8329977450305468,0.00011884582818311173,0.06160853138889174,0.7718839338600547,0.016877057737246876
690,0.9022001554194305,0.9482605796058549,0.8855408228681722,0.9998080188577826,0.8320709597574523,0.000122253137305961,0.062253366213246994,0.7710811201978626,0.017086388525308676
691,0.9018919981505559,0.9475297099548635,0.8849569468269928,0.9998141960664229,0.8314378163585925,0.00011908337768949827,0.06269174796271036,0.7704313439214603,0.017236685266802203
692,0.9021757002537704,0.9482642262619446,0.8856093469898249,0.9997965314171531,0.8317755934310287,0.00012806117835377032,0.0622041923813073,0.7709954698708765,0.017092480333621506
694,0.9025195698280536,0.9484373284682057,0.8855001925902029,0.9998528307134454,0.8317253148719057,9.9134520496591e-05,0.06238947108567478,0.7708232890594019,0.01711007098200064
698,0.9014732103703613,0.9475878285362942,0.8851402041170042,0.999739636074413,0.8318129385987374,0.00015620719487843517,0.062492333262799724,0.7706720119886175,0.017185563092559756
702,0.9030181557565135,0.94895179187187,0.8861006996778048,0.9998487125743519,0.8325760086921796,0.00010009572189220408,0.06185097022947058,0.7715684524051641,0.01694243587822879
710,0.9021779184093858,0.9478211005680365,0.8853504079126118,0.9997969649054788,0.8315645097053215,0.00012663849500111406,0.062363089028611235,0.7707078233970104,0.0171557626979231
715,0.9028075418808277,0.9487638181462427,0.8858682334371442,0.999852180480957,0.8325711586703994,9.89880184836996e-05,0.062018641147268815,0.7714306527461405,0.01699719187334472
724,0.9042421340251119,0.951092208059559,0.8881019513873634,0.9998361955989491,0.8348227004482323,0.00010564273341313108,0.060275600617190436,0.7736571211690243,0.016470352720258197
727,0.9024984973497069,0.948716297659073,0.8857978672692105,0.9998289346694946,0.8322406027415028,0.00011175460309055375,0.062088580555226425,0.7712191398962619,0.017021009483304973
728,0.9019339767455781,0.9477501047322888,0.8851000475080787,0.9998097528110851,0.8315073333374441,0.00012149163012509234,0.06259497623127626,0.7705301966109874,0.01720256987881987
729,0.9023882550156197,0.9484687808769799,0.8854758775792938,0.9998389049009844,0.831640708936404,0.00010684782743434577,0.062380211001419154,0.7708333008509957,0.017105885735792522
738,0.9020370655278055,0.9479260558886201,0.8852150964557998,0.9998152797872369,0.8314314574411472,0.00011873551092220521,0.06253507302468081,0.7705744245255004,0.017184750370906426
739,0.9021593968099969,0.947964687651571,0.8852433060788457,0.999835111878135,0.8317163692761775,0.00010866732251694582,0.06252471689718314,0.7707674540678214,0.017170638567653135
740,0.9023747797202558,0.948146678582051,0.8855579802135322,0.9998163635080511,0.8320667025161117,0.00011723339371706566,0.06221443594220172,0.7711074149032571,0.017097217906186044
750,0.901573748273631,0.947460138594151,0.884669956016415,0.9998153881593184,0.8309164929063353,0.00011960662029903485,0.06300618795745343,0.7700327976022482,0.01730440336136915
756,0.9020526480710039,0.9478515843337869,0.8850449440093303,0.9998394467613914,0.8314830832285425,0.0001067468923186728,0.06269569371838167,0.7704521376424627,0.017214693126985686
767,0.9010059558899695,0.9463856855647019,0.8838920861869007,0.9998035756024447,0.8301878040784025,0.0001256743408804242,0.06355327942285192,0.7691777245883304,0.017509429968346736
777,0.9021383797855406,0.9480879332316049,0.8854062482298726,0.9998133290897716,0.8318514154381949,0.00011971535948557883,0.0623660927795502,0.7707739452294042,0.017127048034541723
778,0.9025302169750077,0.948379209886775,0.8856036629613007,0.9998312104832042,0.8318923172885424,0.0001096398601576867,0.06224988257310476,0.7709196663059525,0.017080392225305444
781,0.9030818168226765,0.9490630718616092,0.8864019531895869,0.9998217821121216,0.8327850985200438,0.00011331450494051549,0.06157246267939188,0.771777049733315,0.01688674912760522
782,0.9027005158723829,0.9486932781425063,0.8858509182021029,0.9998368458314375,0.8320753247770545,0.00010685708629251974,0.062069112457424754,0.7711288687423865,0.017026006550144634
783,0.9024364999002554,0.9484033120043684,0.8856039787406631,0.999835111878135,0.8320322673614711,0.00010832818447347058,0.06225141110908553,0.7710016309733958,0.017079801155012113
784,0.902604414280344,0.9487411405036845,0.8858829171774983,0.9998346783898093,0.8323556560359588,0.00010854749982374617,0.062045497168977566,0.7713068805973169,0.01701059006734143
785,0.9038082627867323,0.9499449358663175,0.8870832997939773,0.9998544562946666,0.8338685394966439,9.598152792023029e-05,0.06106004172778991,0.772623431191893,0.016702596492404482
786,0.9022910443457731,0.9482892400435604,0.8855619800854566,0.9998180974613536,0.8319398475019899,0.00011703111663842315,0.062254355614443854,0.7710050965935629,0.0170909927466485
787,0.9023321911324395,0.9480318658942248,0.8852863047020334,0.9998421560634266,0.8316458822929695,0.00010446460227184514,0.06250367286693619,0.7706606249509257,0.017162114901532837
794,0.9021147564282362,0.9475310774508973,0.8850199448098026,0.9998240579258312,0.8311280616342205,0.00011332530488693414,0.06269137471555226,0.7702749509351912,0.017245506270112745
797,0.9027609051590132,0.9489677459922626,0.8861452771978047,0.9998244914141569,0.8327734045786401,0.00011329591325193178,0.0617923408028591,0.7717083424382569,0.016932578699861343
801,0.9023758333441732,0.9485175549021806,0.8858271294901313,0.9997969649054788,0.8322607033873257,0.00012711212689787822,0.06201347493263611,0.7713034699869937,0.017018821802402218
811,0.903989264284952,0.9506441251925288,0.8873817112914973,0.9998708204789595,0.8336854781190011,8.834676100377692e-05,0.06098099627408636,0.7725275490339377,0.016650643576072932
822,0.9019115179199717,0.9477848619231445,0.8850440493011367,0.9998153881593184,0.8313609165688085,0.00011895184272563913,0.0626633160085563,0.7704473517860415,0.017214567884957066
825,0.9029205569094343,0.9493450039605493,0.8863199031852423,0.9998409639705311,0.8326424001014396,0.00010532759936015484,0.06174107560192245,0.7717395330197604,0.016905677793340446
827,0.902132390765379,0.9483012626128563,0.8855529803736266,0.9998029253699563,0.8319106934821769,0.00012523112390125688,0.062239153198449,0.7710132930603072,0.017095190607161657
834,0.902465169561585,0.9481065083860623,0.8852602002747371,0.999861175363714,0.8317102259152556,9.438414680415815e-05,0.0625528763216662,0.7706093557763907,0.017162701466717226
844,0.9027900739053561,0.9485670696543995,0.8856282937515721,0.9998671358281915,0.8320300579071045,9.104430036030761e-05,0.06228532327944973,0.7709042635496545,0.01707513656521245
845,0.9017373372502695,0.9472649285353456,0.8847514270919283,0.9998050928115845,0.8309819682003701,0.0001236816398078291,0.06284951301942387,0.7701005147201156,0.017297126709404295
847,0.9025026009375955,0.9483059918699728,0.8855658746975935,0.9998360872268677,0.8319126334908891,0.00010738609873644439,0.06227280468825833,0.7709651594468757,0.017090249403672892
860,0.902728409179247,0.9489446125176932,0.8861074889340976,0.9998267672278665,0.8327083603976524,0.00011220050772761977,0.06183716600917907,0.771565756922812,0.016942870170730904
883,0.901518571652697,0.9474042421937751,0.8848024254589648,0.9997992407191884,0.8312487193982896,0.00012783180277943352,0.06285266488431447,0.7702686798129841,0.017281932778982878
889,0.9025272779188172,0.9487136766250084,0.8860739636917836,0.99978937885978,0.8324136946299305,0.00013066253531077463,0.06179911849728549,0.7715284052387893,0.016973251724421216
890,0.9014961682809811,0.9473129618335281,0.8846833766393193,0.9997994574633512,0.8311135115688795,0.00012740942131333414,0.06293839323951536,0.770082031412558,0.01730498812450996
920,0.9035885544730232,0.9497089288425078,0.8869193050450757,0.9998386881568215,0.8335037100804996,0.00010425145127454824,0.06118309479880045,0.7723675804078136,0.01675190761285181
922,0.9024091056784047,0.9482488419315659,0.8855038240528711,0.9998314272273671,0.8318059869008523,0.00010986069193879505,0.062316545700452405,0.770882149592398,0.017108771708581456
924,0.9017922366017516,0.9472109124420159,0.8847895311349979,0.9998043342070146,0.8309764176198882,0.00012359273750917055,0.06280445675533937,0.7700949587258796,0.017298044850606892
926,0.9026657462831109,0.9487269527323352,0.8858826013981359,0.9998371709476818,0.8321777680148819,0.00010703576622795986,0.062064408358321124,0.7711787076609795,0.017021286998015868
931,0.9029674709007007,0.948696070113575,0.8861295934894694,0.999828501181169,0.8327103542954954,0.00010980664289187796,0.061759465430156285,0.7715371518039728,0.016950757715468442
935,0.9029698554179874,0.948895895471494,0.8860778583039206,0.999849796295166,0.8326122221881396,9.980616990408937e-05,0.06187040870448192,0.7714804916647335,0.016962223217728566
938,0.9016801642892817,0.9477168289954697,0.8850233657528959,0.9997854774648492,0.8313130630205756,0.00013414406324348724,0.06266187041638845,0.7703688527387653,0.017212712681094307
946,0.903416536505046,0.9498751365895992,0.88709135216772,0.9998170137405396,0.8336723291710633,0.00011599522177776735,0.061032374041626244,0.7725417965835134,0.016718130108040206
950,0.9033050741853703,0.9493289928611552,0.8865838947322547,0.9998396635055542,0.8330902187791589,0.00010427252103302938,0.06145836754017565,0.7720000596405733,0.01684354783590649
951,0.9033437810008598,0.949407225030081,0.8865949996398343,0.9998452446677468,0.8330475385874918,0.00010149801972955982,0.061470732092857354,0.7719682089409426,0.01684099704322292
953,0.9026926968738385,0.9484999483907472,0.8856222413137917,0.9998570572246205,0.8318459187468439,9.64326167781514e-05,0.062279463891523425,0.7708706525350184,0.01708307546819194
959,0.9018918317888848,0.9477762011149312,0.8848750547123295,0.9998385797847401,0.8310701847076416,0.00010759376345959026,0.06287725772484239,0.7701316502917753,0.017260652446379365
960,0.9028214053534241,0.9488754969889919,0.885954125423732,0.9998451362956654,0.8322100476042866,0.00010256424320687074,0.062006845352161354,0.7712699689920455,0.01699668549909952
962,0.9029604837105121,0.9488974339045319,0.8860409647484071,0.9998481707139448,0.8323643321860328,0.00010055079292214941,0.06192085039184753,0.7713754228628432,0.016969503473780578
971,0.9029883770173762,0.9487347588555274,0.885904442804039,0.9998603083870627,0.8322227654391772,9.414468018399525e-05,0.06204603630376149,0.7712142440201528,0.017014167123842232
972,0.9025055399937859,0.9483015475078633,0.8858743911347121,0.9997833100232211,0.8322221726587375,0.00013237305696141752,0.061920862240963666,0.7713242086981522,0.017023747688520576
973,0.9018691511477169,0.9484190382087555,0.885907705857451,0.9997246265411377,0.8328199647877315,0.0001631939218592985,0.061854927834258014,0.7714970496277539,0.01698711574668264
982,0.902282116269421,0.9482873027575127,0.8854387208743116,0.9998299100182273,0.8317010647630039,0.00011124437959450814,0.0623994954379208,0.7708328607722442,0.017122726734043525
983,0.9022314314136082,0.9479340329488165,0.8853008305527063,0.999820048158819,0.8314635214740282,0.00011549779547850549,0.062471609158688275,0.7705906524294573,0.01716444764694356
987,0.902121189079521,0.9482263352260119,0.885286778371077,0.9998304518786344,0.8314513964195775,0.00011164117899574598,0.06253356226237422,0.7705654029110973,0.01716265911869316
989,0.9025363169029501,0.9483812041518241,0.8856433985310762,0.9998315355994485,0.8319529964499277,0.00010965084503469471,0.06219841001263583,0.7710654974021888,0.017072250592423517
994,0.9023361838125472,0.9481298697766373,0.8853907750411122,0.9998348951339722,0.8316018548730302,0.00010838934718372507,0.06241917089525475,0.7706848292822511,0.01714310874792379
996,0.9010754950685134,0.9467762196403154,0.8843037572157546,0.9997675960714166,0.8305583996315526,0.00014337672291730996,0.06319412678839212,0.7696938269440031,0.01740579173915486
1005,0.9021913382508592,0.9478204168200197,0.8853015147413249,0.999813437461853,0.8316716412975365,0.00011868456870918938,0.06243497169161417,0.770626683877226,0.017165913609393638
1006,0.9019440138997379,0.947709364746286,0.8851794660177361,0.9998011914166537,0.8318590676947817,0.00012543023250246834,0.06251327657555958,0.7707093086627963,0.017176205981284987
1010,0.902113148265415,0.9481174483543315,0.8855039293126586,0.9997880783948031,0.8317171776131409,0.0001317356505347157,0.06226904851844511,0.7708425975146184,0.017110708004405187
1014,0.9022623746844436,0.9486268406268709,0.8858264979314064,0.9997976151379672,0.8323827083796671,0.0001277878262852836,0.06203610674444451,0.7713140868868706,0.01701240382420191
1016,0.9022757390720266,0.9479600723524575,0.8852985148373816,0.9998293681578203,0.8315147161483765,0.00011090344155996313,0.062484400279550656,0.7705913125475844,0.01716786972769672
1021,0.9038078746094996,0.9500587799111199,0.887238505350624,0.999841180714694,0.8340470202981609,0.00010286366432410432,0.060909824558051225,0.7728730108537655,0.016667463850822798
1024,0.901167548526554,0.9468722292576789,0.8843141779347157,0.9997861276973378,0.830580817510004,0.00013445281102677755,0.06322409912764307,0.7696970725247945,0.017399092642156503
1031,0.9027945656704774,0.9485866134518806,0.8857899201552554,0.9998493628068403,0.8320915454054532,0.0001000485830849761,0.06212571568517799,0.7710462439568162,0.017038430739587846
1038,0.9026418456563545,0.948668036444885,0.8859687039042986,0.9998141960664229,0.8323488660054665,0.00011800164470009299,0.06192644909921898,0.7713025348196471,0.016988387088426374
1046,0.9014260191096429,0.9470920542450901,0.8847712685618693,0.9997516653754495,0.8310744958381131,0.00014956987575310955,0.06278519601706999,0.7701293398783305,0.01729279639868821
1052,0.9020357900883267,0.9477495349422749,0.8853690915248903,0.999773773280057,0.8317834073550081,0.00013794491698920156,0.06230500466134174,0.7708253794334708,0.017143285348194356
1060,0.902663749943057,0.9486211427267306,0.8858753384727994,0.999828501181169,0.8324221013343498,0.00011113495000043056,0.06199891829347035,0.7713217332551757,0.017004098205354458
1062,0.9033529308927734,0.9491722436282967,0.8864950028417237,0.9998413974588568,0.8331241150424906,0.00010292733592602114,0.061500212693788914,0.7719127040084257,0.016862628774323995
1064,0.9021855155923687,0.9478277101321992,0.8850978370525415,0.999840422110124,0.8314267151976285,0.00010563881288463663,0.0626389423766768,0.770470180871269,0.017210890815037728
1065,0.9019277659098548,0.947576318778011,0.8849501575707001,0.9998228658329357,0.8314408341499224,0.0001148349426027077,0.06271382879061871,0.7704171513817285,0.017236421267418138
1068,0.9024108802028971,0.9485901461499675,0.885980071961347,0.9997852607206865,0.8326084499489772,0.00013275428520703118,0.06186813367418495,0.7715227942347093,0.016978905636144778
1070,0.9020423891012825,0.9477993915685021,0.8851738346191056,0.9998150630430742,0.8315111055766067,0.00011863434156111907,0.06253417841641298,0.7705869667699146,0.017193177627695344
1072,0.9015357069048262,0.947190684896518,0.884743322088292,0.9997759407216852,0.8310450184835148,0.0001380620273670906,0.06283246214131274,0.7701580550168576,0.017295213840147067
1078,0.9030061777161902,0.9490509923133119,0.8862400636364349,0.9998421560634266,0.832910714084155,0.00010373570451823373,0.06173073724809899,0.7717867314658452,0.01690980717619767
1096,0.90295443923646,0.9490506504393035,0.8864621091581346,0.9997968565333973,0.8330203784655219,0.00012566846008768253,0.061468575553721684,0.7720452227224329,0.016860527591512943
1097,0.900763067850079,0.9465762233453923,0.8842996520840427,0.9997081539847634,0.830599948151471,0.00017157479123852681,0.06314952079072055,0.7697124752810925,0.017409230038300215
1099,0.9017735486406916,0.9478282799222133,0.884884738612778,0.9998252500187267,0.8309005417235911,0.00011489212314093795,0.06286652242562857,0.7701615206370247,0.017262742816928953
1106,0.9016784452186797,0.9472607120892419,0.8846370097029321,0.9998198314146562,0.830908571204094,0.00011678508498233794,0.06298939775989716,0.7699624400118724,0.01732132094647219
1109,0.9018382633307719,0.9475199095666224,0.884894159363758,0.9998172304847024,0.831237402680802,0.00011785623994203181,0.06277021280972353,0.7702613635037425,0.01725732497291401
1114,0.9013097323015036,0.9469435669674349,0.8845316446556597,0.9997701970013705,0.830867399908092,0.00014135424801982785,0.06300848668598266,0.7698850411614747,0.017351521394782993
1115,0.90212967352475,0.9478065139436774,0.8851174153730137,0.9998265504837036,0.8315626235857403,0.00011262132344806257,0.06258440089513019,0.7705898272817985,0.017189369909616656
1116,0.9019857152253081,0.9479707274257198,0.885391827638987,0.9997750737450339,0.8318063102356374,0.00013808334369969089,0.06231004646025508,0.770878628962387,0.017123026774299135
1119,0.9015268342823645,0.9470840771848937,0.8845886428305828,0.9997940388592806,0.8307960506987899,0.00012925791351234593,0.06298568898654845,0.7698820706299029,0.01734258956579245
1136,0.9018041037342942,0.947644693579694,0.8852198331462366,0.9997610937465321,0.8316860296954849,0.00014459642645508412,0.06243011355400085,0.770663870531717,0.01717310196122321
1138,0.9022076416946326,0.9476484541937866,0.8850826796431437,0.9998318607156927,0.8312921540377891,0.00010945601449445046,0.062611535371068,0.7703985030446391,0.017224205214008095
1144,0.90157790731541,0.9475739826389534,0.8847062180132035,0.9998127872293646,0.830781392855187,0.000121334414466724,0.06295624393296528,0.7700642632329713,0.01730242021241241
1146,0.9024723785673351,0.9482686706240541,0.8856731344210408,0.9998153881593184,0.832163541284326,0.00011743052972532394,0.06212930596736539,0.7711227076398672,0.01706558753629671
1148,0.9013070150608746,0.9469764438512442,0.8846232733006654,0.9997517737475309,0.8308500476079446,0.00014995687383311128,0.06290209939680903,0.7700255913126944,0.017335233623910196
1152,0.9025581657357622,0.948625017298826,0.8855924527939335,0.9998557567596436,0.8318889761624271,9.77299233555742e-05,0.062341014125260955,0.7708783539131674,0.017083051140603645
1162,0.9017576888280412,0.9481583022983372,0.8854106165110531,0.9997620690952648,0.8318067952378156,0.00014566723621101119,0.062334348997437804,0.7709687350867307,0.017111681107936892
1168,0.9015902735329661,0.9475574017495453,0.8850485228421048,0.9997675960714166,0.8314718742893168,0.0001426429553248454,0.06258637969752391,0.7705070374666965,0.01721399303305593
1169,0.9015907726179795,0.9474181450701172,0.8847445852057418,0.9998019500212236,0.8309988354983395,0.00012596299287300403,0.06292124756847518,0.7700449547777548,0.01729027984483261
1171,0.9015659292750866,0.9473522203654945,0.8849068957980437,0.999765320257707,0.8313377981316554,0.00014325018107936354,0.0626893188939037,0.7703602712031136,0.017250783554728664
1174,0.9015409195705225,0.9471848160593735,0.8847553217040652,0.9997789751399647,0.8312277026372414,0.0001367781652435143,0.06280178477965205,0.770226652292228,0.017284027654641407
1177,0.9019482283954072,0.9478531797458262,0.8852616739117619,0.9997926300222223,0.8316714796301437,0.00012980345875095937,0.06245606904288371,0.7707036426488724,0.01716167610392178
1179,0.9015226197866951,0.9469736518801755,0.8846138525496854,0.9997834183953025,0.8307827400834593,0.00013425666131499584,0.06292932866567588,0.769942361418841,0.017342658043448384
1184,0.9024991073425012,0.9487386904066242,0.8857456584146179,0.9998357621106234,0.831848828759912,0.00010847816318144194,0.06217675575290817,0.7710988333676053,0.01704930787462001
1185,0.9022642601167167,0.9481658235265223,0.8853727756174523,0.9998292597857389,0.8317226743044919,0.00011128553281499383,0.06243612105587878,0.7707590375617014,0.017134347212051294
1190,0.9023070150662043,0.9479200161144714,0.8852345168865907,0.9998384714126587,0.8317821679049975,0.00010615997194286643,0.06250411720879105,0.7706966563986943,0.017161256227768287
1195,0.9017034549232437,0.9475715895208945,0.8849438946133447,0.9997958811846647,0.8311651912454057,0.000128835975879661,0.06273248522396546,0.7702944794297834,0.01725199633005614
1196,0.9026367993523294,0.9484404623132829,0.8856126626731307,0.9998503381555731,0.8320135139439204,9.9890140720365e-05,0.06226608031485453,0.7709758313565965,0.017078206346446263
1198,0.9029575446543217,0.9489575467510116,0.8862311165544987,0.9998276342045177,0.832571374226923,0.00011082922275009978,0.061735619083944565,0.7716224170620513,0.016929344031640214
1205,0.9018620530497475,0.9477326691578597,0.8850373126747376,0.9998091025785967,0.831509435013549,0.0001221066969365994,0.06264778181730982,0.7705605070349882,0.017216279826355436
1207,0.9029503911024619,0.9489560083179738,0.8861303303079818,0.9998426979238336,0.8326360411839944,0.00010352324392847044,0.06182823177561702,0.7715646567259336,0.01694655444882455
1219,0.9018708147644284,0.9480312961042108,0.8852665684918799,0.9997982653704557,0.8316243266406125,0.00012809060697489054,0.062475383102175694,0.7707338430531853,0.017157508878149437
1236,0.9023187158370757,0.9482474174565309,0.8856372408335084,0.9997997825795953,0.8321744807778972,0.0001255443839909276,0.062129181551646026,0.7711244129450289,0.01706414139632598
1238,0.9016451728844481,0.9476589953090461,0.8851112050455521,0.9997694383968007,0.831509003900502,0.000141717698271451,0.06255460629262119,0.7705956033154103,0.017197078151018258
1253,0.9027951202093812,0.9487504850599146,0.8860906473681001,0.9998173388567838,0.8326917086562067,0.0001161077582057462,0.06179220453802361,0.7716120752113941,0.0169570288271172
1256,0.9021333889354058,0.9476554626109591,0.8851256782663313,0.9998231909491799,0.8314051056561405,0.00011395639901618577,0.06258146231432994,0.7704207820314274,0.017210852972122607
1260,0.9026233240569657,0.9484627980818328,0.8856570296735555,0.9998453530398282,0.8321953897606837,0.00010240749603932879,0.06220816775976892,0.7710237999404962,0.01705922902553445
